gene,category,rest_engagement,stim48_axis_proj,stim8_axis_proj
ALPL,inflammatory,0.051518514752388,0.5960332155227661,-0.45387184619903564
ALX4,inflammatory,0.078125,0.5014944076538086,0.44404828548431396
AMBRA1,other,0.22367043793201447,-0.09395194053649902,-0.2588289976119995
AMDHD1,other,0.16859431564807892,-0.29413843154907227,0.18613088130950928
AMIGO1,other,0.05559687316417694,-0.1139988899230957,0.2860255539417267
AMN,other,0.3065832853317261,-0.2415241301059723,-0.39938047528266907
AMN1,other,0.15116535127162933,-0.22246667742729187,-0.196123868227005
AMOT,inflammatory,0.11805686354637146,0.4378683269023895,0.12869217991828918
AMPD2,other,0.22553300857543945,-0.24684485793113708,-0.38032472133636475
AMPD3,damaging,0.3528653085231781,0.20383457839488983,-0.41426265239715576
AMZ2,other,0.13637833297252655,-0.191371887922287,-0.2921513617038727
ANAPC16,other,0.020947936922311783,-0.051227230578660965,-0.575350284576416
ANGEL1,damaging,0.3679380714893341,0.6235484480857849,0.09362777322530746
ANGEL2,damaging,0.3853282332420349,0.15183480083942413,-0.2583450973033905
ANGPTL4,damaging,0.3872842490673065,-0.37690961360931396,0.15374450385570526
ANKEF1,other,0.12542694807052612,-0.4373455047607422,0.21233174204826355
ANKFY1,resting_sparing_suppressor,0.14340783655643463,-0.6365582942962646,-0.40098413825035095
ANKMY1,other,0.3063274323940277,-0.5035356879234314,0.01409327145665884
ANKRD13A,other,0.06510570645332336,-0.28472834825515747,-0.5432774424552917
ANKRD13B,other,0.2435779571533203,-0.6309326887130737,-0.4859639108181
ANKRD13C,other,0.23223820328712463,-0.6352663636207581,-0.27927616238594055
ANKRD26,other,0.06161271408200264,-0.4440189301967621,0.03321455791592598
ANKRD27,other,0.1467108279466629,-0.025417927652597427,-0.15947027504444122
ANKRD33B,resting_sparing_suppressor,0.14007888734340668,-0.6494011878967285,-0.34189316630363464
ANKRD36,other,0.19581304490566254,-0.27665090560913086,0.08940921723842621
ANKRD39,damaging,0.3458816111087799,0.5504187941551208,0.20943346619606018
ANKRD54,resting_sparing_suppressor,0.12626034021377563,-0.543968915939331,-0.3708401024341583
ANKRD9,other,0.284638375043869,-0.5896601676940918,-0.48118457198143005
ANKS6,other,0.13680431246757507,0.05685005336999893,-0.019057895988225937
ANO10,inflammatory,0.10763869434595108,0.2438005805015564,-0.11840149015188217
ANO6,resting_sparing_suppressor,0.15993547439575195,-0.5964604616165161,-0.2551962733268738
ANO8,other,0.29032817482948303,-0.4252201318740845,0.15037280321121216
ANP32A,other,0.18020877242088318,-0.14413297176361084,-0.10017675906419754
ANP32E,damaging,0.3148481249809265,-0.5455823540687561,-0.5780462026596069
ANPEP,damaging,0.41629695892333984,0.40996527671813965,0.002489117905497551
ANTXR2,other,0.25370851159095764,0.1326046735048294,-0.4908992350101471
ANXA1,resting_sparing_suppressor,0.08820002526044846,-0.5718331336975098,0.014894927851855755
ANXA11,other,0.2564237713813782,-0.490182101726532,0.40471357107162476
ANXA2,other,0.07219161838293076,-0.2269151210784912,-0.48449423909187317
