gene,condition,EN_D1,EN_D4
ARMC5,Rest,7.339046001434326,5.439897060394287
ARMC6,Rest,7.220363140106201,5.32150411605835
ARMC8,Rest,7.522851943969727,4.420895099639893
ARMCX2,Rest,7.011765480041504,4.97945499420166
ARMCX4,Rest,6.4862236976623535,5.604852676391602
ARMCX5,Rest,5.898280143737793,5.654556751251221
ARMCX6,Rest,6.892772197723389,5.735911846160889
ARMH1,Rest,3.4482264518737793,4.882892608642578
ARMT1,Rest,4.910140037536621,5.473834037780762
ARNT,Rest,7.26364803314209,5.740577697753906
ARNT2,Rest,6.438902378082275,5.393982410430908
ARPC3,Rest,7.237666606903076,5.368144989013672
ARPC5,Rest,7.537820816040039,4.221212387084961
ARRB1,Rest,7.068853378295898,5.624432563781738
ARRDC3,Rest,7.040822505950928,5.042163848876953
ARSA,Rest,4.566566467285156,5.667701721191406
ARSB,Rest,7.02924108505249,5.452040672302246
ARV1,Rest,7.658813953399658,5.601486682891846
ARX,Rest,5.641429901123047,5.718647480010986
ASAP2,Rest,5.5661115646362305,5.561631679534912
ASAP3,Rest,7.046741485595703,4.878632545471191
ASB1,Rest,7.270087718963623,4.876870632171631
ASB13,Rest,6.994645118713379,5.402911186218262
ASB8,Rest,7.856164455413818,5.456071376800537
ASCC1,Rest,7.488572597503662,5.005307197570801
ASCL1,Rest,7.397122383117676,5.7018961906433105
ASCL2,Rest,6.60770320892334,5.636064052581787
ASCL4,Rest,7.1618428230285645,5.894627571105957
ASCL5,Rest,7.635315895080566,5.345100402832031
ASF1A,Rest,5.759119510650635,5.53623104095459
ASIC1,Rest,6.993753433227539,5.377444744110107
ASL,Rest,5.435406684875488,5.826262950897217
ASMTL,Rest,7.956288814544678,2.593928098678589
ASPH,Rest,7.969213962554932,5.877039909362793
ASPHD2,Rest,5.069640159606934,5.483546257019043
ASRGL1,Rest,7.796391010284424,5.146100044250488
ASTE1,Rest,5.689844131469727,5.5396833419799805
ASTL,Rest,7.450561046600342,5.469356060028076
ASXL1,Rest,4.129746913909912,5.714107990264893
ATAD2,Rest,6.8750529289245605,4.90422248840332
ATAD2B,Rest,5.614131927490234,5.696225643157959
ATAD3A,Rest,6.931401252746582,5.150651931762695
ATAD5,Rest,6.568447589874268,5.234846115112305
ATAT1,Rest,7.002509593963623,5.11295223236084
ATF1,Rest,7.018984794616699,4.813243865966797
ATF3,Rest,7.1621785163879395,5.548085689544678
ATF7,Rest,7.6153435707092285,5.3562703132629395
