perturbation,line,state,EN_mean,EN_lo,EN_hi,argmin_mean,argmin_lo,argmin_hi,rstar_mean,rstar_lo,rstar_hi,splithalf_rho_EN,splithalf_rho_argmin,occ_entropy,state_div,cell_disp,effect_size,n_de,n_cells
ARGLU1,k562,S,5.9768,5.8004,6.1475,6.0,6.0,6.0,5.867,5.0,6.0,0.9481,0.831,0.8297,0.00072,0.13231,1.8982,47,442
ARGLU1,k562,G2M,5.959,5.4394,6.2034,6.0,6.0,6.0,6.0,6.0,6.0,0.9554,0.8305,0.8297,0.00072,0.13231,1.8982,47,442
ARL4D,k562,G1,6.682,6.3395,6.8063,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.8842,0.00012,0.13562,1.6065,22,118
ARL4D,k562,S,6.6799,6.5116,6.7776,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.8842,0.00012,0.13562,1.6065,22,118
ARL4D,k562,G2M,6.6586,6.2871,6.7811,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.8842,0.00012,0.13562,1.6065,22,118
ARMC6,k562,G1,6.0919,5.7327,6.2945,5.867,5.0,6.0,5.4,5.0,6.0,0.9692,0.8496,0.8631,0.00104,0.13499,1.9642,63,76
ARMC6,k562,S,6.1451,5.7883,6.383,5.933,5.35,6.0,5.667,5.0,6.0,0.9481,0.831,0.8631,0.00104,0.13499,1.9642,63,76
ARMC6,k562,G2M,6.1231,5.7867,6.2878,5.933,5.35,6.0,5.733,5.0,6.0,0.9554,0.8305,0.8631,0.00104,0.13499,1.9642,63,76
ASF1B,k562,G1,6.3607,6.1671,6.5809,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.8448,0.00031,0.127,1.0385,2,271
ASF1B,k562,S,6.4086,6.1167,6.6989,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.8448,0.00031,0.127,1.0385,2,271
ASF1B,k562,G2M,6.4659,6.1972,6.6471,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.8448,0.00031,0.127,1.0385,2,271
ATF5,k562,G1,6.0178,5.9667,6.0872,6.0,6.0,6.0,6.0,6.0,6.0,0.9692,0.8496,1.0808,0.0744,0.14978,5.6483,495,133
ATF5,k562,S,6.0315,5.9808,6.0708,6.0,6.0,6.0,6.0,6.0,6.0,0.9481,0.831,1.0808,0.0744,0.14978,5.6483,495,133
ATF5,k562,G2M,6.0231,5.9232,6.0896,6.0,6.0,6.0,6.0,6.0,6.0,0.9554,0.8305,1.0808,0.0744,0.14978,5.6483,495,133
ATL2,k562,G1,5.9269,5.7787,6.2975,8.0,8.0,8.0,8.0,8.0,8.0,0.9692,0.8496,0.8219,0.00132,0.12917,1.7753,41,109
ATL2,k562,S,5.9607,5.7616,6.3856,8.0,8.0,8.0,8.0,8.0,8.0,0.9481,0.831,0.8219,0.00132,0.12917,1.7753,41,109
ATL2,k562,G2M,5.9618,5.7139,6.4641,8.0,8.0,8.0,8.0,8.0,8.0,0.9554,0.8305,0.8219,0.00132,0.12917,1.7753,41,109
ATP1A1,k562,G1,6.7707,6.6526,6.8443,7.0,7.0,7.0,7.0,7.0,7.0,0.9692,0.8496,0.9428,0.00289,0.1453,4.3479,381,71
ATP1A1,k562,S,6.7725,6.6568,6.8776,7.0,7.0,7.0,7.0,7.0,7.0,0.9481,0.831,0.9428,0.00289,0.1453,4.3479,381,71
ATP1A1,k562,G2M,6.7633,6.665,6.8533,7.0,7.0,7.0,7.0,7.0,7.0,0.9554,0.8305,0.9428,0.00289,0.1453,4.3479,381,71
ATP6AP1,k562,G1,5.7652,5.6114,6.161,6.0,6.0,6.0,6.0,6.0,6.0,0.9692,0.8496,1.0226,0.02237,0.14083,2.565,152,114
ATP6AP1,k562,S,5.7365,5.5369,6.0732,6.0,6.0,6.0,6.0,6.0,6.0,0.9481,0.831,1.0226,0.02237,0.14083,2.565,152,114
ATP6AP1,k562,G2M,5.6756,5.5763,5.8876,6.0,6.0,6.0,6.0,6.0,6.0,0.9554,0.8305,1.0226,0.02237,0.14083,2.565,152,114
ATP6AP2,k562,G1,5.2495,5.061,5.7797,6.0,6.0,6.0,6.0,6.0,6.0,0.9692,0.8496,0.9312,0.00248,0.13333,1.7235,45,164
ATP6AP2,k562,S,5.3462,4.8622,5.8772,6.0,6.0,6.0,6.0,6.0,6.0,0.9481,0.831,0.9312,0.00248,0.13333,1.7235,45,164
ATP6AP2,k562,G2M,5.2516,4.9379,6.0821,6.0,6.0,6.0,6.0,6.0,6.0,0.9554,0.8305,0.9312,0.00248,0.13333,1.7235,45,164
ATP6V0B,k562,G1,5.8217,5.7646,5.89,6.0,6.0,6.0,6.0,6.0,6.0,0.9692,0.8496,0.9528,0.00691,0.14025,2.4961,86,136
ATP6V0B,k562,S,5.8891,5.5574,6.1377,6.0,6.0,6.0,6.0,6.0,6.0,0.9481,0.831,0.9528,0.00691,0.14025,2.4961,86,136
ATP6V0B,k562,G2M,5.8657,5.753,6.0565,6.0,6.0,6.0,6.0,6.0,6.0,0.9554,0.8305,0.9528,0.00691,0.14025,2.4961,86,136
ATP6V0C,k562,G1,6.0346,5.9409,6.178,6.0,6.0,6.0,6.0,6.0,6.0,0.9692,0.8496,0.8707,0.01299,0.13751,3.7268,338,47
ATP6V0C,k562,S,6.0435,5.9562,6.2064,6.0,6.0,6.0,6.0,6.0,6.0,0.9481,0.831,0.8707,0.01299,0.13751,3.7268,338,47
ATP6V0C,k562,G2M,6.0673,5.7716,6.471,6.0,6.0,6.0,6.0,6.0,6.0,0.9554,0.8305,0.8707,0.01299,0.13751,3.7268,338,47
ATP6V0D1,k562,G1,5.8952,5.6622,6.0954,5.733,5.0,6.0,5.4,5.0,6.0,0.9692,0.8496,0.915,0.00479,0.13535,1.8516,46,88
