candidate,n_lines,lines,mean_score_pct,best_rank,mean_response_cosine,anchor_class_mode,anchor_class_consistency,anchors,mean_delta_E_N,any_tox_essential,all_tox_essential,recurrence_note
COMTD1,3,"hepg2,jurkat,rpe1",0.3198244536535857,251,0.2119666666666666,Other cytosolic protein,0.6666666666666666,FAU;BCR;TFRC,-1.277,False,False,non_essential(safety-pass)
POLR3B,3,"hepg2,jurkat,k562",0.3197132179892769,512,0.42525,Other cytosolic protein,1.0,RPL23;RPS20;RPL24,-0.99,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MRPS7,3,"hepg2,k562,rpe1",0.3170523158939459,325,0.15555,Other cytosolic protein,0.6666666666666666,RPS21;NDUFB8;FAU,-2.59,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
DDX41,3,"hepg2,k562,rpe1",0.316561430200494,218,0.40325,Other cytosolic protein,0.6666666666666666,RPS27A;FNTA,-1.186,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MRPL38,3,"hepg2,k562,rpe1",0.3148740277319343,430,0.27025,Enzyme; Kinase,0.3333333333333333,NDUFAB1;MTOR;RPL23,-1.2759999999999998,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
EIF3D,3,"jurkat,k562,rpe1",0.3146702596127979,392,0.61835,Other cytosolic protein,1.0,RPS20;RPL27A;RPS3,-2.014,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
BRF1,3,"hepg2,k562,rpe1",0.3136583493599056,510,0.6554,Other cytosolic protein,0.6666666666666666,PSMB2;RPL26;RPL24,-0.553,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
SETDB1,3,"hepg2,jurkat,rpe1",0.3113350206873101,335,0.1828666666666666,Epigenetic regulator; Writer; DNA methyltransferase,0.3333333333333333,E2F6;DNMT1;RPL5,-0.5595,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
ANAPC11,3,"hepg2,jurkat,rpe1",0.3080082193146678,301,0.3534,Enzyme; Aminoacyltransferase,0.6666666666666666,RPS27A;RBX1,0.2230000000000001,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
THOC6,3,"hepg2,jurkat,rpe1",0.3061018372339562,280,0.2051999999999999,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.3333333333333333,FNTA;MTOR;GSK3B,1.281,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
SP1,3,"hepg2,jurkat,rpe1",0.2998502278115224,485,0.1439666666666666,Enzyme,0.3333333333333333,NPM1;DNMT1;PSMC5,-0.714,False,False,non_essential(safety-pass)
RAD51D,3,"hepg2,jurkat,rpe1",0.2990841551075114,427,0.0231666666666666,Enzyme; Transferase,1.0,POLD1;SEM1,0.6659999999999999,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NUDC,3,"hepg2,jurkat,rpe1",0.2984306522333967,410,0.4721666666666667,Other cytosolic protein,0.6666666666666666,XPO1;RPS27;RPL23,-0.2555,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
GPN3,3,"hepg2,jurkat,rpe1",0.2974166473246554,520,0.6215333333333334,Enzyme; Kinase; Protein Kinase; TK protein kinase group; Tyrosine protein kinase JakA family,0.3333333333333333,XPO1;TYK2;HDAC7,-2.2215000000000003,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
TAF6,3,"hepg2,jurkat,rpe1",0.2969543882917215,558,0.4202666666666667,Enzyme; Kinase; Protein Kinase; TK protein kinase group; Tyrosine protein kinase JakA family,0.3333333333333333,E2F6;TYK2;RPS27A,-2.7855,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
NAPG,3,"jurkat,k562,rpe1",0.2966429916234786,223,0.31505,Enzyme,0.5,NDUFAB1;POLE;POLD3,0.801,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
RTCB,3,"hepg2,k562,rpe1",0.2964862154597214,344,0.3295,Enzyme,0.5,NDUFS3;NDUFA6;PSMD13,0.9215,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MRPL55,3,"jurkat,k562,rpe1",0.2963134150843174,322,0.1964,Enzyme; Oxidoreductase,0.5,NDUFAB1;NDUFB4;RPL26,-1.757,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
LSM7,3,"hepg2,jurkat,k562",0.296150669109911,342,0.4846,Other cytosolic protein,0.6666666666666666,FAU;FNTA,-1.766,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MED17,3,"hepg2,jurkat,k562",0.2959951498312041,328,0.43135,Enzyme; Transferase,0.5,POLA1;HDAC3;POLE,-2.552,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
MSRB1,3,"hepg2,jurkat,rpe1",0.2950916676334092,255,0.1331999999999999,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.3333333333333333,CCDC6;MTOR;TFRC,0.0025,False,False,non_essential(safety-pass)
PAM16,3,"hepg2,k562,rpe1",0.2946396401903113,483,0.64105,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.3333333333333333,NDUFB8;RPL24;MTOR,0.554,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
DNAJC17,3,"hepg2,k562,rpe1",0.2935617673944868,278,0.64785,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family,0.3333333333333333,ATR;FNTA;GART,-0.3165,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
STXBP4,3,"hepg2,jurkat,rpe1",0.2928452259365551,195,0.2887666666666666,Enzyme; Transferase,0.5,RPS3A;NDUFA6;POLA1,-0.9745,False,False,non_essential(safety-pass)
CENPW,3,"hepg2,jurkat,rpe1",0.2910265962276703,473,0.4099,Other nuclear protein,0.6666666666666666,NPM1;PRIM1,0.9695,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
H2AFX,3,"jurkat,k562,rpe1",0.2881959060315562,454,0.1629,Other cytosolic protein,0.6666666666666666,BCR;RPS23;PRIM2,2.365,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
KTI12,3,"hepg2,jurkat,rpe1",0.2880549400740049,435,0.3842,Enzyme; Kinase; Protein Kinase; Atypical protein kinase group; Atypical protein kinase PIKK family; Atypical protein kinase FRAP subfamily,0.6666666666666666,PSMD14;MTOR,-1.033,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
COPS3,3,"hepg2,jurkat,k562",0.2859031626870421,467,0.4952499999999999,Enzyme; Aminoacyltransferase,0.6666666666666666,RBX1;PSMD13,-0.192,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
CENPN,3,"hepg2,jurkat,rpe1",0.2833394594114364,439,0.4720333333333333,Enzyme; Kinase; Protein Kinase; CAMK protein kinase group; CAMK protein kinase CAMK1 family; CAMK protein kinase CHK1 subfamily,0.3333333333333333,CHEK1;NPM1;PRIM1,1.531,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
URI1,3,"hepg2,jurkat,rpe1",0.2828666033331109,387,0.5553666666666667,Enzyme,0.3333333333333333,ATR;TYK2;POLD2,-0.6425000000000001,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
CHMP6,3,"jurkat,k562,rpe1",0.2821306122391211,354,0.6222000000000001,Enzyme,0.3333333333333333,NDUFAB1;PSMD13;RPS27A,-1.449,True,True,essential_in_all_lines(likely-toxic;recurrence driven by core-essentiality)
