perturbation,EN_learned,argmin_depth,effect_size
LARS2,3.0,7.5,1.4151
LENG8,3.0,7.5,1.9984
LETM1,3.0,5.0,2.7085
LONP1,3.0,8.0,3.0419
LRR1,3.0,5.333,1.7654
LSG1,3.0,2.0,3.6574
LSM2,3.0,3.0,5.2349
LSM3,3.0,1.833,3.7483
LSM7,3.0,4.0,3.5668
LST1,3.0,7.333,1.4531
LTV1,3.0,5.833,4.607
MAD2L2,3.0,7.333,1.3302
MAK16,3.0,2.0,3.7761
MANF,3.0,2.0,1.5127
MARS,3.0,4.0,3.8548
MARS2,3.0,2.0,2.0431
MAT2A,3.0,8.0,4.039
MAU2,3.0,5.0,2.9973
MAX,3.0,6.0,5.1433
MBTPS2,3.0,7.333,1.829
MCM2,3.0,3.833,2.7375
MCM3AP,3.0,1.0,2.882
MCM4,3.0,6.333,2.9769
MCM5,3.0,5.333,2.3713
MCM6,3.0,5.0,2.3847
MCM7,3.0,3.5,1.8876
MCMBP,3.0,1.0,2.2726
MED10,3.0,4.833,4.4087
MED11,3.0,3.167,4.5575
MED12,3.0,6.0,6.8265
MED17,3.0,3.0,6.667
MED20,3.0,3.167,4.8462
MED28,3.0,4.333,5.5784
MED29,3.0,3.667,4.4686
MED30,3.0,2.333,7.6889
MED7,3.0,3.0,6.753
MED8,3.0,3.167,4.3572
METAP1,3.0,7.0,1.8652
METAP2,3.0,4.5,2.7767
METTL1,3.0,7.0,1.4208
METTL16,3.0,5.5,3.1814
METTL3,3.0,6.0,2.2064
MEX3A,3.0,1.0,1.6429
MFAP1,3.0,3.0,5.0197
MICOS10,3.0,6.833,2.751
MIOS,3.0,6.0,1.9032
MIPEP,3.0,7.0,1.7908
MIS12,3.0,2.167,2.187
MIS18A,3.0,8.0,1.4891
MIS18BP1,3.0,7.0,1.7589
MMS19,3.0,5.0,1.657
MMS22L,3.0,4.167,3.5505
MNAT1,3.0,4.0,3.4304
MOB4,3.0,8.0,2.2709
MPHOSPH10,3.0,6.167,5.0688
MRGBP,3.0,1.0,3.0078
MRPL1,3.0,1.0,1.7527
MRPL10,3.0,2.333,2.6624
MRPL13,3.0,2.5,2.626
MRPL15,3.0,2.0,3.0592
MRPL16,3.0,6.0,2.5439
MRPL17,3.0,2.667,2.793
MRPL18,3.0,2.0,2.5481
MRPL19,3.0,2.0,2.6057
MRPL2,3.0,3.833,2.4262
MRPL22,3.0,6.0,2.5336
MRPL27,3.0,1.333,2.6596
MRPL28,3.0,8.0,2.8721
MRPL3,3.0,2.0,2.4718
MRPL33,3.0,2.333,2.5416
MRPL36,3.0,2.5,2.186
MRPL38,3.0,4.333,2.2465
MRPL39,3.0,6.833,2.7047
MRPL41,3.0,5.0,2.6218
MRPL43,3.0,6.833,2.7142
MRPL44,3.0,4.0,2.6693
MRPL45,3.0,1.0,1.5787
MRPL49,3.0,4.0,3.9603
MRPL50,3.0,5.667,2.1284
MRPL51,3.0,7.333,2.8954
MRPL54,3.0,8.0,2.211
MRPL55,3.0,3.667,2.2165
MRPL9,3.0,3.5,1.9396
MRPS10,3.0,3.0,2.2071
MRPS11,3.0,5.667,2.6344
MRPS12,3.0,7.0,2.9382
MRPS14,3.0,3.0,3.9
MRPS16,3.0,7.0,2.8532
MRPS18A,3.0,8.0,2.478
MRPS2,3.0,6.333,2.2508
MRPS23,3.0,7.667,2.2069
MRPS25,3.0,6.0,2.0218
MRPS27,3.0,2.0,3.2027
MRPS31,3.0,6.0,1.9683
MRPS34,3.0,5.0,3.1141
MRPS6,3.0,5.0,1.6674
MRPS7,3.0,8.0,2.033
MRPS9,3.0,8.0,2.6848
MRTO4,3.0,7.167,2.3333
MSRB1,3.0,5.5,1.1892
MT2A,3.0,7.0,1.5599
MTOR,3.0,5.167,4.0245
MTPAP,3.0,6.0,6.0562
MVK,3.0,7.0,1.68
MYBBP1A,3.0,2.0,3.3085
MYBL2,3.0,5.333,3.2494
MYCBP,3.0,7.0,1.2615
N6AMT1,3.0,3.0,1.872
NAA15,3.0,6.833,2.3685
NAA25,3.0,6.167,2.5012
NACA,3.0,1.0,4.9664
NAE1,3.0,4.0,2.7904
NAF1,3.0,7.0,1.9175
NAGLU,3.0,7.0,1.068
NAPG,3.0,3.667,2.1875
NARS,3.0,4.0,5.0031
NASP,3.0,6.0,1.9774
NBAS,3.0,6.0,2.4659
NCAPD2,3.0,7.0,2.6506
NCAPD3,3.0,1.0,2.0474
NCAPG2,3.0,6.5,1.9429
NCAPH,3.0,3.0,3.3155
NCAPH2,3.0,1.0,1.4888
NCBP1,3.0,6.0,5.4377
NCBP2,3.0,6.0,4.7718
NCKAP1,3.0,1.0,3.0379
NDUFA6,3.0,5.833,1.7095
NDUFA8,3.0,8.0,2.0722
NDUFAF3,3.0,6.333,2.1374
NDUFB10,3.0,6.167,1.7018
NDUFB3,3.0,6.0,1.5149
